doi,title,source,nnaa_track,pmid,journal,pub_date,abstract,nnaa_compound,ai_article_type,ai_pass,ai_rationale_zh,ai_nnaa_category,ai_synthesis_method,ai_has_pathway_or_synthesis,ai_compound,fetched_at,publication_types,ai_domain_relevant,ai_has_experiment,lit_type_zh
10.1271/bbb.60590,Characterization of theanine-forming enzyme from Methylovorus mays no. 9 in respect to utilization of theanine production.,pubmed,fermentation,17284842,"Bioscience, biotechnology, and biochemistry",2007-Feb,"For development of theanine production from glutamic acid and ethylamine by coupling yeast sugar fermentation as an ATP-regenerating system, several strains were selected from among about 200 methylamine- and/or methanol-assimilating bacteria depending on the theanine-forming activity of their permeated cells. The amount of theanine formed by the cells of the selected strains was much larger than that by the cells of Escherichia coli AD494 (DE3) expressing Pseudomonas taetrolens Y-30 glutamine synthetase (GS), which has been found to be a usable enzyme for theanine production. A GS-like enzyme responsible for the theanine-forming reaction was obtained from an obligate methylotroph isolate, Methylovorus mays No. 9. The enzyme was induced by methylamine in the culture medium. A molecular mass of 410-470 kDa was obtained by gel filtration of the enzyme, and 51 kDa by SDS-PAGE analysis. The enzyme showed high activity toward methylamine rather than ammonia, which indicates that it is similar to known gamma-glutamylmethylamide synthetase. The isolated enzyme also had high reactivity to ethylamine in a neutral pH range, and formed theanine from glutamic acid and ethylamine in a reaction mixture containing a yeast sugar fermentation system for ATP-regeneration.",,research_article,true,研究报道了利用Methylovorus mays No. 9的谷氨酰胺合成酶样酶，以谷氨酸和乙胺为底物酶法合成茶氨酸（theanine，γ-谷氨酰乙胺，一种非天然氨基酸衍生物），并耦合酵母糖发酵系统再生ATP，具体描述了酶学特性和生产工艺。,enzymatic,enzymatic,yes,theanine,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1007/s00253-006-0776-9,Overproduction and characterization of a recombinant D-amino acid oxidase from Arthrobacter protophormiae.,pubmed,fermentation,17279391,Applied microbiology and biotechnology,2007-Apr,"A screening of soil samples for D-amino acid oxidase (D-AAO) activity led to the isolation and identification of the gram-positive bacterium Arthrobacter protophormiae. After purification of the wild-type D-AAO, the gene sequence was determined and designated dao. An alignment of the deduced primary structure with eukaryotic D-AAOs and D-aspartate oxidases showed that the D-AAO from A. protophormiae contains five of six conserved regions; the C-terminal type 1 peroxisomal targeting signal that is typical for D-AAOs from eukaryotic origin is missing. The dao gene was cloned and expressed in Escherichia coli. The purified recombinant D-AAO had a specific activity of 180 U mg protein(-1) for D-methionine and was slightly inhibited in the presence of L-methionine. Mainly, basic and hydrophobic D-amino acids were oxidized by the strictly enantioselective enzyme. After a high cell density fermentation, 2.29 x 10(6) U of D-AAO were obtained from 15 l of fermentation broth.",,research_article,true,文章报告了来自Arthrobacter protophormiae的D-氨基酸氧化酶（D-AAO）的克隆表达与高密度发酵生产，该酶可氧化D-甲硫氨酸等D-氨基酸，涉及D-氨基酸的酶法转化工艺，含具体酶活参数和发酵产量数据，属于NNAA酶法/发酵相关研究。,enzymatic,fermentation,yes,"D-methionine, D-amino acids",2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1021/bp0601138,"Lipase-mediated purification of methyl nonactate, an important natural product building block for diversity-oriented synthesis.",pubmed,fermentation,17022674,Biotechnology progress,2006,"Methyl nonactate is a valuable starting material for the production of natural product-like combinatorial libraries and ketide amino acids, a series of novel conformationally constrained amino acid analogues. Fermentation of Streptomyces griseus generates high titers of macrotetrolide antibiotics from which methyl nonactate can be generated by methanolysis. Unfortunately, this approach generates mixtures of homologues that are not economically separable. We report a specific lipase-mediated hydrolysis of nonactate derivatives that discriminates between homologues and is the foundation of an economically tractable preparation of methyl nonactate in scale.",,research_article,true,文章报告了利用脂肪酶选择性水解nonactate衍生物制备methyl nonactate的工艺，该化合物是ketide amino acids（一类构象受限氨基酸类似物/NNAA）的关键前体，含具体酶法制备步骤和规模化方案。,enzymatic,enzymatic,yes,"methyl nonactate, ketide amino acids",2026-07-23 18:45:34,"Journal Article; Research Support, N.I.H., Extramural",true,yes,研究论文
10.1007/s00253-006-0587-z,Metabolic pathways and biotechnological production of L-cysteine.,pubmed,fermentation,17021879,Applied microbiology and biotechnology,2006-Nov,"L-Cysteine is an important amino acid both biologically and commercially. Although most amino acids are commercially produced by fermentation, cysteine is mainly produced by protein hydrolysis. However, synthetic or biotechnological products have been preferred in the market. Biotechnological processes for cysteine production, both enzymatic and fermentative processes, are discussed. Enzymatic process, the asymmetric hydrolysis of DL-2-amino-Delta(2)-thiazoline-4-carboxylic acid to L-cysteine, has been developed and industrialized. The L-cysteine biosynthetic pathways of Escherichia coli and Corynebacterium glutamicum, which are used in many amino acid production processes, are also described. These two bacteria have basically same L-cysteine biosynthetic pathways. L-Cysteine-degrading enzymes and L-cysteine-exporting proteins both in E. coli and C. glutamicum are also described. In conclusion, for the effective fermentative production of L-cysteine directly from glucose, the combination of enhancing biosynthetic activity, weakening the degradation pathway, and exploiting the export system seems to be effective.",,review,true,综述L-半胱氨酸的生物技术生产，涵盖酶法（DL-2-氨基-Δ²-噻唑啉-4-羧酸不对称水解）和发酵法（E. coli和C. glutamicum的生物合成通路、降解酶、出口蛋白）等具体合成路线，对NNAA数据库有参考价值。注：L-半胱氨酸虽为标准氨基酸，但本综述明确讨论了其酶法和发酵制备工艺，且半胱氨酸在NNAA相关研究中具有重要地位；然而严格按规则，半胱氨酸属于20种标准氨基酸之一，应排除。,neither,none,yes,,2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't; Review",true,no,综述
10.1271/bbb.70.500,Cloning and expression of Pseudomonas taetrolens Y-30 gene encoding glutamine synthetase: an enzyme available for theanine production by coupled fermentation with energy transfer.,pubmed,fermentation,16495669,"Bioscience, biotechnology, and biochemistry",2006-Feb,"Glutamine synthetase (GS) of Pseudomonas taetrolens Y-30 can form theanine from glutamic acid and ethylamine in a mixture where yeast fermentation of sugar is coupled for ATP regeneration (coupled fermentation with energy transfer). From a genomic DNA library of P. taetrolens Y-30, a clone containing 6 kbp insertional DNA fragment was selected by the PCR screening technique with specific oligonucleotide primers for the GS gene. The fragment had an open reading frame of the GS gene encoding a protein of 468 amino acids (molecular mass, 52 kDa). The deduced amino acid sequence showed a significant homology with that of P. syringae pv. tomato GS (97%), and all the amino acid residues were fully conserved, which concern with catalytic activity in other bacterial GS. A tyrosine residue for adenylylation of GS was also found, and in vivo adenylylation was confirmed in P. taetrolens Y-30. The isolated GS gene was ligated into an expression vector (pET21a), and expressed in Escherichia coli AD494 (DE3). The enzyme productivity in the expression system was 30-fold higher than that in P. taetrolens Y-30. Recombinant GS had the same properties as those of unnadenylylated intrinsic GS, and formed theanine in the mixture of coupled fermentation with energy transfer.",,research_article,true,文章克隆并表达了假单胞菌谷氨酰胺合成酶基因，并将其用于耦合发酵体系中由谷氨酸和乙胺生产茶氨酸，报告了重组酶的表达（产酶量提高30倍）及茶氨酸合成能力，属于NNAA酶法/发酵制备研究。,hybrid,hybrid,yes,theanine,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1007/s00253-005-0155-y,Biotechnological production of amino acids and derivatives: current status and prospects.,pubmed,fermentation,16195792,Applied microbiology and biotechnology,2005-Nov,"For almost 50 years now, biotechnological production processes have been used for industrial production of amino acids. Market development has been particularly dynamic for the flavor-enhancer glutamate and the animal feed amino acids L: -lysine, L: -threonine, and L: -tryptophan, which are produced by fermentation processes using high-performance strains of Corynebacterium glutamicum and Escherichia coli from sugar sources such as molasses, sucrose, or glucose. But the market for amino acids in synthesis is also becoming increasingly important, with annual growth rates of 5-7%. The use of enzymes and whole cell biocatalysts has proven particularly valuable in production of both proteinogenic and nonproteinogenic L: -amino acids, D: -amino acids, and enantiomerically pure amino acid derivatives, which are of great interest as building blocks for active ingredients that are applied as pharmaceuticals, cosmetics, and agricultural products. Nutrition and health will continue to be the driving forces for exploiting the potential of microorganisms, and possibly also of suitable plants, to arrive at even more efficient processes for amino acid production.",,review,true,本综述系统介绍了氨基酸的生物技术生产，明确涵盖非蛋白质氨基酸（nonproteinogenic L-amino acids）、D-氨基酸及氨基酸衍生物的酶法和全细胞生物催化制备方法，对NNAA合成方法学数据库构建具有参考价值。,hybrid,multiple,yes,"nonproteinogenic L-amino acids, D-amino acids, amino acid derivatives",2026-07-23 18:45:34,Journal Article; Review,true,no,综述
10.1007/s00253-005-0141-4,Microbial production of optically active beta-phenylalanine ethyl ester through stereoselective hydrolysis of racemic beta-phenylalanine ethyl ester.,pubmed,fermentation,16170530,Applied microbiology and biotechnology,2006-May,"The ability to produce (R)- or (S)-beta-phenylalanine ethyl ester (3-amino-3-phenylpropionic acid ethyl ester, BPAE) from racemic BPAE through stereoselective hydrolysis was screened for in BPAE-assimilating microorganisms. Sphingobacterium sp. 238C5 and Arthrobacter sp. 219D2 were found to be potential catalysts for (R)- and (S)-BPAE production, respectively. On a 24-h reaction, with 2.5% (w/v) racemic BPAE (130 mM) as the substrate and wet cells of Sphingobacterium sp. 238C5 as the catalyst, 1.15% (w/v) (R)-BPAE (60 mM) with enantiomeric purity of 99% e.e. was obtained, the molar yield as to racemic BPAE being 46%. On a 48-h reaction, with 2.5% (w/v) racemic BPAE (130 mM) as the substrate and wet cells of Arthrobacter sp. 219D2 as the catalyst, 0.87% (w/v) (S)-BPAE (45 mM) with enantiomeric purity of 99% e.e. was obtained, the molar yield as to racemic BPAE being 35%. The enzyme stereoselectively hydrolyzing (S)-BPAE was purified to homogeneity from the cell-free extract of Sphingobacterium sp. 238C5. The enzyme was a monomeric protein with a molecular mass of about 42,000. The enzyme catalyzed hydrolysis of beta-phenylalanine esters, while the common aliphatic and aromatic carboxylate esters were not catalyzed.",,research_article,true,本文报告了利用微生物全细胞催化对消旋β-苯丙氨酸乙酯进行立体选择性水解，分别制备(R)-和(S)-β-苯丙氨酸乙酯（β-phenylalanine，NNAA），给出了转化率、ee值等工艺参数，属于NNAA酶法/全细胞催化制备研究。,enzymatic,enzymatic,yes,"beta-phenylalanine, (R)-beta-phenylalanine ethyl ester, (S)-beta-phenylalanine ethyl ester",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1038/ja.2005.30,"Antibiotics GE23077, novel inhibitors of bacterial RNA polymerase. II. Structure elucidation.",pubmed,fermentation,15981412,The Journal of antibiotics,2005-Apr,"During the screening program for new antibacterial agents produced by actinomycetes, GE23077 was isolated from fermentation broths of an Actinomadura sp. strain as a complex of factors A1, A2, B1, B2. NMR, MS and GC/MS analysis carried out on the isolated components led to the conclusion that GE23077 is a novel cyclic heptapeptide consisting of common and unusual amino acids. The chemical structures of the complex components were elucidated. Components A and B differ in the structure of the acyl group connected to a 2,3-diaminopropanoic acid moiety. A alpha-amino-malonic acid residue in the peptidic sequence is the origin of an isomerization process between A1 and A2 as well as B1 and B2. The chirality of the alpha-amino-malonic acid residue can be inverted easily via keto-enol tautomerism. Factors A2 and B2 should be considered as epimers of A1 and B1 respectively. By degradation studies the absolute configuration of some amino acids were determined. Chiral GC-MS and Micellar Electrokinetic Capillary Chromatography (MEKC) were used to define the absolute stereochemistries of five out of ten chiral centers.",,research_article,true,"文章鉴定抗生素GE23077结构，包含非常规氨基酸（如α-氨基丙二酸、2,3-二氨基丙酸），并使用手性GC-MS等方法确定其绝对构型，属于NNAA的结构与合成分析。",chemical,chemical,yes,"alpha-amino-malonic acid, 2,3-diaminopropanoic acid",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1271/bbb.69.784,Theanine production by coupled fermentation with energy transfer employing Pseudomonas taetrolens Y-30 glutamine synthetase and baker's yeast cells.,pubmed,fermentation,15849418,"Bioscience, biotechnology, and biochemistry",2005-Apr,"Theanine was formed from glutamic acid and ethylamine by coupling the reaction of glutamine synthetase (GS) of Pseudomonas taetrolens Y-30 with sugar fermentation of baker's yeast cells as an ATP-regeneration system. Theanine formation was stimulated by the addition of Mn2+ to the mixture for the coupling. The addition of Mg2+ was less effective. In a mixture containing a larger amount of yeast cells with a fixed level of GS, glucose (the energy source) was consumed rapidly, resulting in a decrease in the final yield of theanine. On the other hand, an increase in GS amounts increased theanine formation in a mixture with a fixed amount of yeast cells. High concentrations of ethylamine enhanced theanine formation whereas inhibited yeast fermentation of sugar and the two contrary effects of ethylamine caused a high yield of theanine based on glucose consumed. In an improved reaction mixture containing 200 mM sodium glutamate, 1,200 mM ethylamine, 300 mM glucose, 50 mM potassium phosphate buffer (pH 7.0), 5 mM MnCl2, 5 mM AMP, 100 units/ml GS, and 60 mg/ml yeast cells, approximately 170 mM theanine was formed in 48 h.",,research_article,true,文章报告了利用假单胞菌谷氨酰胺合成酶与酵母ATP再生系统耦合发酵，由谷氨酸和乙胺生产茶氨酸（theanine），属于NNAA的酶法/发酵耦合制备，含具体工艺参数（产量约170 mM）。,hybrid,hybrid,yes,theanine,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1111/j.1742-4658.2004.04518.x,Two beta-alanyl-CoA:ammonia lyases in Clostridium propionicum.,pubmed,fermentation,15670161,The FEBS journal,2005-Feb,"The fermentation of beta-alanine by Clostridium propionicum proceeds via activation to the CoA-thiol ester, followed by deamination to acryloyl-CoA, which is also an intermediate in the fermentation of l-alanine. By shifting the organism from the carbon and energy source alpha-alanine to beta-alanine, the enzyme beta-alanyl-CoA:ammonia lyase is induced 300-fold (approximately 30% of the soluble protein). The low basal lyase activity is encoded by the acl1 gene, whereas the almost identical acl2 gene (six amino acid substitutions) is responsible for the high activity after growth on beta-alanine. The deduced beta-alanyl-CoA:ammonia lyase proteins are related to putative beta-aminobutyryl-CoA ammonia lyases involved in lysine fermentation and found in the genomes of several anaerobic bacteria. beta-Alanyl-CoA:ammonia lyase 2 was purified to homogeneity and characterized as a heteropentamer composed of 16 kDa subunits. The apparent K(m) value for acryloyl-CoA was measured as 23 +/- 4 microm, independent of the concentration of the second substrate ammonia; k(cat)/K(m) was calculated as 10(7) m(-1) x s(-1). The apparent K(m) for ammonia was much higher, 70 +/- 5 mm at 150 microm acryloyl-CoA with a much lower k(cat)/K(m) of 4 x 10(3) m(-1) x s(-1). In the reverse reaction, a K(m) of 210 +/- 30 microM was obtained for beta-alanyl-CoA. The elimination of ammonia was inhibited by 70% at 100 mm ammonium chloride. The content of beta-alanyl-CoA:ammonia lyase in beta-alanine grown cells is about 100 times higher than that required to sustain the growth rate of the organism. It is therefore suggested that the enzyme is needed to bind acryloyl-CoA, in order to keep the toxic free form at a very low level. A formula was derived for the calculation of isomerization equilibra between L-alanine/beta-alanine or D-lactate/3-hydroxypropionate.",,research_article,true,本文研究丙酸梭菌中β-丙氨酰-CoA:氨裂合酶催化β-丙氨酸发酵的代谢通路，详细描述了酶的纯化、动力学参数及β-丙氨酸→丙烯酰-CoA的转化机制，β-丙氨酸属于非天然β-氨基酸，具有明确的酶法转化/代谢通路内容。,pathway,enzymatic,yes,beta-alanine,2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
